8=FIX4.4; 35=A; 34=1; 49=m3; 56=MS; 52=2024-05-23-05:36:07; 108=30; 10=0015;
8=FIX4.4; 35=A; 34=1; 49=MS; 56=m3; 52=2024-05-23-05:36:07; 108=30; 10=0016;
8=FIX4.4; 35=0; 34=2; 49=m3; 56=MS; 52=2024-05-23-05:36:07; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=2; 49=MS; 56=m3; 52=2024-05-23-05:36:07; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=m3; 56=MS; 52=2024-05-23-05:36:09; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MS; 56=m3; 52=2024-05-23-05:36:09; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=m3; 56=MS; 52=2024-05-23-05:36:11; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MS; 56=m3; 52=2024-05-23-05:36:11; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=m3; 56=MS; 52=2024-05-23-05:36:13; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MS; 56=m3; 52=2024-05-23-05:36:13; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=m3; 56=MS; 52=2024-05-23-05:36:15; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MS; 56=m3; 52=2024-05-23-05:36:15; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=m3; 56=MS; 52=2024-05-23-05:36:17; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=7; 49=MS; 56=m3; 52=2024-05-23-05:36:17; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=m3; 56=MS; 52=2024-05-23-05:36:19; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=8; 49=MS; 56=m3; 52=2024-05-23-05:36:19; 108=30; 10=0015;
