8=FIX4.4; 35=8; 34=54; 49=MS; 56=M3; 52=2024-05-23-05:38:16; 151=3540; 55=AAPL; 11=C_algo20240523053815; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053816; 32=0; 41=algo20240523053815; 38=5898; 60=2024-05-23-05:38:16; 6=0.0; 14=1179; 37=algo20240523053815; 10=252;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=M3; 52=2024-05-23-05:38:19; 151=2832; 55=AMZN; 11=C_algo20240523053819; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053819; 32=0; 41=algo20240523053819; 38=3775; 60=2024-05-23-05:38:19; 6=0.0; 14=0; 37=algo20240523053819; 10=252;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=M3; 52=2024-05-23-05:38:21; 151=16717; 55=FB; 11=C_algo20240523053821; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053821; 32=0; 41=algo20240523053821; 38=25075; 60=2024-05-23-05:38:21; 6=0.0; 14=0; 37=algo20240523053821; 10=252;
8=FIX4.4; 35=8; 34=76; 49=MS; 56=M3; 52=2024-05-23-05:38:29; 151=4869; 55=CSCO; 11=C_algo20240523053829; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053829; 32=0; 41=algo20240523053829; 38=7303; 60=2024-05-23-05:38:29; 6=0.0; 14=0; 37=algo20240523053829; 10=252;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=M3; 52=2024-05-23-05:38:32; 151=10376; 55=AMGN; 11=C_algo20240523053831; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053832; 32=0; 41=algo20240523053831; 38=20750; 60=2024-05-23-05:38:32; 6=0.0; 14=5187; 37=algo20240523053831; 10=252;
8=FIX4.4; 35=8; 34=85; 49=MS; 56=M3; 52=2024-05-23-05:38:35; 151=20067; 55=TSLA; 11=C_algo20240523053835; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053835; 32=0; 41=algo20240523053835; 38=26755; 60=2024-05-23-05:38:35; 6=0.0; 14=0; 37=algo20240523053835; 10=252;
8=FIX4.4; 35=8; 34=88; 49=MS; 56=M3; 52=2024-05-23-05:38:37; 151=14315; 55=TXN; 11=C_algo20240523053837; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053837; 32=0; 41=algo20240523053837; 38=21472; 60=2024-05-23-05:38:37; 6=0.0; 14=0; 37=algo20240523053837; 10=252;
8=FIX4.4; 35=8; 34=91; 49=MS; 56=M3; 52=2024-05-23-05:38:39; 151=11796; 55=AVGO; 11=C_algo20240523053839; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053839; 32=0; 41=algo20240523053839; 38=15728; 60=2024-05-23-05:38:39; 6=0.0; 14=0; 37=algo20240523053839; 10=252;
8=FIX4.4; 35=8; 34=98; 49=MS; 56=M3; 52=2024-05-23-05:38:44; 151=1626; 55=SBUX; 11=C_algo20240523053842; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053844; 32=0; 41=algo20240523053842; 38=6501; 60=2024-05-23-05:38:44; 6=0.0; 14=3250; 37=algo20240523053842; 10=252;
8=FIX4.4; 35=8; 34=104; 49=MS; 56=M3; 52=2024-05-23-05:38:48; 151=10261; 55=TMUS; 11=C_algo20240523053847; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053848; 32=0; 41=algo20240523053847; 38=20521; 60=2024-05-23-05:38:48; 6=0.0; 14=5130; 37=algo20240523053847; 10=252;
8=FIX4.4; 35=8; 34=108; 49=MS; 56=M3; 52=2024-05-23-05:38:51; 151=7368; 55=MDLZ; 11=C_algo20240523053850; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053851; 32=0; 41=algo20240523053850; 38=22104; 60=2024-05-23-05:38:51; 6=0.0; 14=7368; 37=algo20240523053850; 10=252;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=M3; 52=2024-05-23-05:38:57; 151=2943; 55=DDD; 11=C_algo20240523053856; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053857; 32=0; 41=algo20240523053856; 38=8827; 60=2024-05-23-05:38:57; 6=0.0; 14=2942; 37=algo20240523053856; 10=252;
8=FIX4.4; 35=8; 34=122; 49=MS; 56=M3; 52=2024-05-23-05:39:01; 151=18905; 55=WBAI; 11=C_algo20240523053901; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053901; 32=0; 41=algo20240523053901; 38=28357; 60=2024-05-23-05:39:01; 6=0.0; 14=0; 37=algo20240523053901; 10=252;
8=FIX4.4; 35=8; 34=125; 49=MS; 56=M3; 52=2024-05-23-05:39:03; 151=14047; 55=WUBA; 11=C_algo20240523053903; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053903; 32=0; 41=algo20240523053903; 38=28094; 60=2024-05-23-05:39:03; 6=0.0; 14=0; 37=algo20240523053903; 10=252;
8=FIX4.4; 35=8; 34=131; 49=MS; 56=M3; 52=2024-05-23-05:39:07; 151=20148; 55=AHC; 11=C_algo20240523053907; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053907; 32=0; 41=algo20240523053907; 38=30222; 60=2024-05-23-05:39:07; 6=0.0; 14=0; 37=algo20240523053907; 10=252;
8=FIX4.4; 35=8; 34=139; 49=MS; 56=M3; 52=2024-05-23-05:39:13; 151=1366; 55=ATEN; 11=C_algo20240523053913; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053913; 32=0; 41=algo20240523053913; 38=2732; 60=2024-05-23-05:39:13; 6=0.0; 14=0; 37=algo20240523053913; 10=252;
8=FIX4.4; 35=8; 34=142; 49=MS; 56=M3; 52=2024-05-23-05:39:15; 151=9985; 55=AIR; 11=C_algo20240523053915; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053915; 32=0; 41=algo20240523053915; 38=19970; 60=2024-05-23-05:39:15; 6=0.0; 14=0; 37=algo20240523053915; 10=252;
8=FIX4.4; 35=8; 34=146; 49=MS; 56=M3; 52=2024-05-23-05:39:18; 151=5982; 55=AAN; 11=C_algo20240523053917; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053918; 32=0; 41=algo20240523053917; 38=17946; 60=2024-05-23-05:39:18; 6=0.0; 14=5982; 37=algo20240523053917; 10=252;
8=FIX4.4; 35=8; 34=149; 49=MS; 56=M3; 52=2024-05-23-05:39:20; 151=12027; 55=ABB; 11=C_algo20240523053920; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053920; 32=0; 41=algo20240523053920; 38=18040; 60=2024-05-23-05:39:20; 6=0.0; 14=0; 37=algo20240523053920; 10=252;
8=FIX4.4; 35=8; 34=160; 49=MS; 56=M3; 52=2024-05-23-05:39:28; 151=15503; 55=ANF; 11=C_algo20240523053928; 31=0; 150=4; 39=4; 54=1; 17=exec20240523053928; 32=0; 41=algo20240523053928; 38=23254; 60=2024-05-23-05:39:28; 6=0.0; 14=0; 37=algo20240523053928; 10=252;
8=FIX4.4; 35=8; 34=171; 49=MS; 56=M3; 52=2024-05-23-05:39:35; 151=21522; 55=; 11=C_algo20240523053935; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053935; 32=0; 41=algo20240523053935; 38=32282; 60=2024-05-23-05:39:35; 6=0.0; 14=0; 37=algo20240523053935; 10=252;
8=FIX4.4; 35=8; 34=54; 49=MS; 56=M3; 52=2024-05-23-05:41:53; 151=6705; 55=AAPL; 11=C_algo20240523054152; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054153; 32=0; 41=algo20240523054152; 38=13409; 60=2024-05-23-05:41:53; 6=0.0; 14=3352; 37=algo20240523054152; 10=252;
