8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-05-23-05:38:15; 55=AAPL; 40=2; 11=algo20240523053815; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=1179; 17=exec20240523053815; 38=5898; 60=2024-05-23-05:38:15; 6=1276.37; 14=1179; 37=algo20240523053815; 10=240;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=M3; 52=2024-05-23-05:38:19; 55=MSFT; 40=2; 11=algo20240523053818; 31=59.89; 150=2; 39=2; 54=1; 44=59.89; 32=23801; 17=exec20240523053819; 38=23801; 60=2024-05-23-05:38:19; 6=59.89; 14=23801; 37=algo20240523053818; 10=246;
8=FIX4.4; 35=8; 34=65; 49=MS; 56=M3; 52=2024-05-23-05:38:24; 55=GOOG; 40=2; 11=algo20240523053823; 31=42.05; 150=2; 39=2; 54=2; 44=42.05; 32=5835; 17=exec20240523053824; 38=5835; 60=2024-05-23-05:38:24; 6=42.05; 14=5835; 37=algo20240523053823; 10=246;
8=FIX4.4; 35=8; 34=67; 49=MS; 56=M3; 52=2024-05-23-05:38:25; 55=GOOGL; 40=2; 11=algo20240523053824; 31=289.20; 150=2; 39=2; 54=1; 44=289.20; 32=12294; 17=exec20240523053825; 38=12294; 60=2024-05-23-05:38:25; 6=289.20; 14=12294; 37=algo20240523053824; 10=246;
8=FIX4.4; 35=8; 34=69; 49=MS; 56=M3; 52=2024-05-23-05:38:25; 55=INTC; 40=2; 11=algo20240523053825; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=6553; 17=exec20240523053825; 38=13107; 60=2024-05-23-05:38:25; 6=339.13; 14=6553; 37=algo20240523053825; 10=240;
8=FIX4.4; 35=8; 34=70; 49=MS; 56=M3; 52=2024-05-23-05:38:27; 55=INTC; 40=2; 11=algo20240523053825; 31=339.13; 150=2; 39=2; 54=2; 44=339.13; 32=6554; 17=exec20240523053827; 38=13107; 60=2024-05-23-05:38:27; 6=339.13; 14=13107; 37=algo20240523053825; 10=246;
8=FIX4.4; 35=8; 34=72; 49=MS; 56=M3; 52=2024-05-23-05:38:28; 55=PEP; 40=2; 11=algo20240523053827; 31=36.21; 150=2; 39=2; 54=2; 44=36.21; 32=3610; 17=exec20240523053828; 38=3610; 60=2024-05-23-05:38:28; 6=36.21; 14=3610; 37=algo20240523053827; 10=246;
8=FIX4.4; 35=8; 34=74; 49=MS; 56=M3; 52=2024-05-23-05:38:29; 55=NFLX; 40=2; 11=algo20240523053828; 31=306.71; 150=2; 39=2; 54=2; 44=306.71; 32=9076; 17=exec20240523053829; 38=9076; 60=2024-05-23-05:38:29; 6=306.71; 14=9076; 37=algo20240523053828; 10=246;
8=FIX4.4; 35=8; 34=79; 49=MS; 56=M3; 52=2024-05-23-05:38:31; 55=AMGN; 40=2; 11=algo20240523053831; 31=116.62; 150=1; 39=1; 54=2; 44=116.62; 32=5187; 17=exec20240523053831; 38=20750; 60=2024-05-23-05:38:31; 6=116.62; 14=5187; 37=algo20240523053831; 10=240;
8=FIX4.4; 35=8; 34=83; 49=MS; 56=M3; 52=2024-05-23-05:38:35; 55=PYPL; 40=2; 11=algo20240523053834; 31=723.61; 150=2; 39=2; 54=1; 44=723.61; 32=16884; 17=exec20240523053835; 38=16884; 60=2024-05-23-05:38:35; 6=723.61; 14=16884; 37=algo20240523053834; 10=246;
8=FIX4.4; 35=8; 34=94; 49=MS; 56=M3; 52=2024-05-23-05:38:42; 55=GILD; 40=2; 11=algo20240523053841; 31=82.91; 150=2; 39=2; 54=2; 44=82.91; 32=2040; 17=exec20240523053842; 38=2040; 60=2024-05-23-05:38:42; 6=82.91; 14=2040; 37=algo20240523053841; 10=246;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=M3; 52=2024-05-23-05:38:42; 55=SBUX; 40=2; 11=algo20240523053842; 31=75.71; 150=1; 39=1; 54=2; 44=75.71; 32=1625; 17=exec20240523053842; 38=6501; 60=2024-05-23-05:38:42; 6=75.71; 14=1625; 37=algo20240523053842; 10=240;
