8=FIX4.4; 35=A; 34=1; 49=MTHREE; 56=MS; 52=2024-05-23-05:38:08; 108=30; 10=0015;
8=FIX4.4; 35=A; 34=1; 49=MS; 56=MTHREE; 52=2024-05-23-05:38:08; 108=30; 10=0016;
8=FIX4.4; 35=0; 34=2; 49=MTHREE; 56=MS; 52=2024-05-23-05:38:08; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=2; 49=MS; 56=MTHREE; 52=2024-05-23-05:38:08; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MTHREE; 56=MS; 52=2024-05-23-05:38:10; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=3; 49=MS; 56=MTHREE; 52=2024-05-23-05:38:10; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MTHREE; 56=MS; 52=2024-05-23-05:38:12; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=4; 49=MS; 56=MTHREE; 52=2024-05-23-05:38:12; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MTHREE; 56=MS; 52=2024-05-23-05:38:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=5; 49=MS; 56=MTHREE; 52=2024-05-23-05:38:14; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MTHREE; 56=MS; 52=2024-05-23-05:38:16; 108=30; 10=0015;
8=FIX4.4; 35=0; 34=6; 49=MS; 56=MTHREE; 52=2024-05-23-05:38:16; 108=30; 10=0015;
