8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-05-23-05:38:15; 55=AAPL; 40=2; 11=algo20240523053815; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=1179; 17=exec20240523053815; 38=5898; 60=2024-05-23-05:38:15; 6=1276.37; 14=1179; 37=algo20240523053815; 10=240;
8=FIX4.4; 35=8; 34=69; 49=MS; 56=M3; 52=2024-05-23-05:38:25; 55=INTC; 40=2; 11=algo20240523053825; 31=339.13; 150=1; 39=1; 54=2; 44=339.13; 32=6553; 17=exec20240523053825; 38=13107; 60=2024-05-23-05:38:25; 6=339.13; 14=6553; 37=algo20240523053825; 10=240;
8=FIX4.4; 35=8; 34=79; 49=MS; 56=M3; 52=2024-05-23-05:38:31; 55=AMGN; 40=2; 11=algo20240523053831; 31=116.62; 150=1; 39=1; 54=2; 44=116.62; 32=5187; 17=exec20240523053831; 38=20750; 60=2024-05-23-05:38:31; 6=116.62; 14=5187; 37=algo20240523053831; 10=240;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=M3; 52=2024-05-23-05:38:42; 55=SBUX; 40=2; 11=algo20240523053842; 31=75.71; 150=1; 39=1; 54=2; 44=75.71; 32=1625; 17=exec20240523053842; 38=6501; 60=2024-05-23-05:38:42; 6=75.71; 14=1625; 37=algo20240523053842; 10=240;
8=FIX4.4; 35=8; 34=97; 49=MS; 56=M3; 52=2024-05-23-05:38:43; 55=SBUX; 40=2; 11=algo20240523053842; 31=75.71; 150=1; 39=1; 54=2; 44=75.71; 32=1625; 17=exec20240523053843; 38=6501; 60=2024-05-23-05:38:43; 6=75.71; 14=3250; 37=algo20240523053842; 10=240;
8=FIX4.4; 35=8; 34=103; 49=MS; 56=M3; 52=2024-05-23-05:38:47; 55=TMUS; 40=2; 11=algo20240523053847; 31=90.74; 150=1; 39=1; 54=1; 44=90.74; 32=5130; 17=exec20240523053847; 38=20521; 60=2024-05-23-05:38:47; 6=90.74; 14=5130; 37=algo20240523053847; 10=240;
8=FIX4.4; 35=8; 34=107; 49=MS; 56=M3; 52=2024-05-23-05:38:50; 55=MDLZ; 40=2; 11=algo20240523053850; 31=52.26; 150=1; 39=1; 54=1; 44=52.26; 32=7368; 17=exec20240523053850; 38=22104; 60=2024-05-23-05:38:50; 6=52.26; 14=7368; 37=algo20240523053850; 10=240;
8=FIX4.4; 35=8; 34=111; 49=MS; 56=M3; 52=2024-05-23-05:38:53; 55=BAC; 40=2; 11=algo20240523053853; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=10027; 17=exec20240523053853; 38=30081; 60=2024-05-23-05:38:53; 6=22.03; 14=10027; 37=algo20240523053853; 10=240;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=M3; 52=2024-05-23-05:38:54; 55=BAC; 40=2; 11=algo20240523053853; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=10027; 17=exec20240523053854; 38=30081; 60=2024-05-23-05:38:54; 6=22.03; 14=20054; 37=algo20240523053853; 10=240;
8=FIX4.4; 35=8; 34=115; 49=MS; 56=M3; 52=2024-05-23-05:38:56; 55=DDD; 40=2; 11=algo20240523053856; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=2942; 17=exec20240523053856; 38=8827; 60=2024-05-23-05:38:56; 6=8.01; 14=2942; 37=algo20240523053856; 10=240;
8=FIX4.4; 35=8; 34=119; 49=MS; 56=M3; 52=2024-05-23-05:38:59; 55=MMM; 40=2; 11=algo20240523053859; 31=146.98; 150=1; 39=1; 54=2; 44=146.98; 32=501; 17=exec20240523053859; 38=1003; 60=2024-05-23-05:38:59; 6=146.98; 14=501; 37=algo20240523053859; 10=240;
